"rental_id","owner_id","vehicle_id","location_id","rate_daily","rating","rentertripstaken","reviewcount","location_id-2","location_city","location_country","location_latitude","location_longitude","airport_city","vehicle_id-2","vehicle_make","vehicle_model","vehicle_type","vehicle_year","fueltype","estimated_car_price"
11779,4800235,1002,5829,"89.00","5.00",9,8,5829,"Miami","US","25.951201","-80.148920","Fort Lauderdale",1002,"Volvo","XC90","suv",2020,"GASOLINE","55000.00"
11780,7734529,1895,863,"33.00","4.85",66,61,863,"Orlando","US","28.441478","-81.243535","Orlando",1895,"Dodge","Grand Caravan","minivan",2010,"GASOLINE","8000.00"
11781,15367901,1950,3616,"30.00","5.00",8,5,3616,"Orlando","US","28.466433","-81.313515","Orlando",1950,"Chevrolet","Traverse","suv",2012,"GASOLINE","12000.00"
11782,9238089,1799,871,"120.00","4.44",10,9,871,"Houston","US","29.752155","-95.350934","Houston",1799,"Land Rover","Range Rover Evoque","suv",2016,"GASOLINE","35000.00"
11783,2037455,1484,5060,"67.00","4.96",66,52,5060,"Pearland","US","29.574503","-95.412465","Houston",1484,"Honda","Odyssey","minivan",2012,"GASOLINE","10000.00"
11784,2578132,1615,5580,"29.00","4.77",15,13,5580,"Chicago","US","41.807519","-87.751724","Chicago",1615,"Honda","CR-V","suv",2008,"GASOLINE","7000.00"
11785,8252770,993,1399,"85.00","4.20",7,5,1399,"Friendswood","US","29.506745","-95.157848","Houston",993,"Toyota","4Runner","suv",2015,"GASOLINE","30000.00"
11786,1618356,184,3082,"32.00",NULL,0,0,3082,"Houston","US","29.744426","-95.390900","Houston",184,"Subaru","Forester","hatchback",2013,"GASOLINE","12000.00"
11787,4886470,52,5733,"32.00","4.84",31,31,5733,"Addison","US","41.912439","-87.990299","Chicago",52,"Mercury","Mariner","suv",2006,"GASOLINE","5000.00"
11788,15582642,256,165,"44.00","5.00",3,3,165,"South Holland","US","41.586882","-87.596984","Chicago",256,"Dodge","Journey","suv",2018,"GASOLINE","20000.00"
11789,1618356,1885,2777,"35.00","4.94",59,49,2777,"Houston","US","29.745102","-95.391910","Houston",1885,"Honda","CR-V","suv",2011,"GASOLINE","9000.00"
11790,9703604,282,5407,"250.00",NULL,0,0,5407,"Milwaukee","US","43.073687","-88.000673","Milwaukee",282,"Tesla","Model Y","suv",2020,"ELECTRIC","55000.00"
11791,3484421,633,1396,"199.00",NULL,1,0,1396,"Las Vegas","US","36.075281","-115.112948","Las Vegas",633,"Cadillac","Escalade ESV","suv",2017,"GASOLINE","65000.00"
11792,2418456,999,4059,"114.00","5.00",24,18,4059,"Henderson","US","36.034880","-115.075026","Las Vegas",999,"Land Rover","Range Rover Sport","suv",2015,"GASOLINE","35000.00"
11793,3165595,99,1531,"43.00","4.57",34,23,1531,"Bennington","US","41.344201","-96.181662","Omaha",99,"Jeep","Cherokee","suv",2017,"GASOLINE","22000.00"
11794,3165595,507,712,"40.00","4.91",62,57,712,"Bennington","US","41.343428","-96.180383","Omaha",507,"Jeep","Commander","suv",2010,"GASOLINE","7000.00"
11795,15401465,1630,658,"125.00",NULL,0,0,658,"Bellevue","US","41.162636","-95.903608","Omaha",1630,"Toyota","Tacoma","truck",2019,"GASOLINE","32000.00"
11796,94730,1439,2608,"89.00","4.97",39,33,2608,"Mission Viejo","US","33.615800","-117.684749","Santa Ana",1439,"Tesla","Model S","sedan",2016,"ELECTRIC","50000.00"
11797,6795485,1825,5705,"60.00",NULL,0,0,5705,"Reston","US","38.959017","-77.359154","Washington",1825,"Toyota","Highlander","suv",2011,"GASOLINE","12000.00"
11798,4060612,1349,4564,"78.00","4.70",15,10,4564,"Yukon","US","35.572707","-97.724767","Oklahoma City",1349,"Ford","F-150","truck",2010,"GASOLINE","12000.00"
11799,3194597,348,5599,"58.00","4.20",5,5,5599,"Las Vegas","US","36.067672","-115.175732","Las Vegas",348,"Audi","Q5","suv",2019,"GASOLINE","30000.00"
11800,1506106,380,2714,"194.00",NULL,0,0,2714,"Lincoln","US","40.798117","-96.730017","Omaha",380,"Land Rover","Range Rover","suv",2015,"GASOLINE","40000.00"
11801,10560053,745,4296,"49.00","4.96",25,25,4296,"Omaha","US","41.268807","-96.151841","Omaha",745,"Toyota","RAV4 Hybrid","suv",2019,"HYBRID","32000.00"
11802,7342780,957,401,"65.00","5.00",23,20,401,"Orlando","US","28.432377","-81.308345","Orlando",957,"Mercedes-Benz","GLK-Class","suv",2015,"GASOLINE","20000.00"
11803,4009047,537,4642,"79.00","4.85",43,34,4642,"Phoenix","US","33.448932","-111.985099","Phoenix",537,"Jeep","Wrangler","suv",2017,"GASOLINE","32000.00"
11804,5339988,1206,5606,"74.00","5.00",25,20,5606,"Phoenix","US","33.449198","-111.987450","Phoenix",1206,"Jeep","Wrangler","suv",2010,"GASOLINE","15000.00"
11805,950349,609,134,"51.00","4.81",85,72,134,"Phoenix","US","33.449622","-111.987624","Phoenix",609,"Jeep","Patriot","suv",2015,"GASOLINE","12000.00"
11806,4009047,1021,1206,"99.00","4.98",100,90,1206,"Phoenix","US","33.448713","-111.984325","Phoenix",1021,"Jeep","Wrangler JK","suv",2018,"GASOLINE","35000.00"
11807,950349,1593,5250,"59.00","4.65",96,78,5250,"Phoenix","US","33.449652","-111.988056","Phoenix",1593,"Nissan","Rogue","suv",2016,"GASOLINE","18000.00"
11808,4009047,1514,1770,"79.00","4.86",24,22,1770,"Phoenix","US","33.449034","-111.982864","Phoenix",1514,"Toyota","Highlander","suv",2015,"GASOLINE","25000.00"
11809,10537511,1327,3240,"115.00","5.00",48,44,3240,"Newcastle","US","47.544463","-122.162650","Seattle",1327,"Ford","F-150","truck",2018,"GASOLINE","35000.00"
11810,323561,1150,3843,"38.00","5.00",1,1,3843,"Orlando","US","28.487182","-81.489137","Orlando",1150,"Chevrolet","Silverado 1500","truck",2012,"GASOLINE","15000.00"
11811,4009047,567,3600,"79.00","4.97",119,112,3600,"Phoenix","US","33.448202","-111.984436","Phoenix",567,"Dodge","Grand Caravan","minivan",2016,"GASOLINE","22000.00"
11812,5339988,1711,2645,"84.00","5.00",10,6,2645,"Phoenix","US","33.449144","-111.987079","Phoenix",1711,"Jeep","Wrangler","suv",2011,"GASOLINE","18000.00"
11813,13541455,630,3074,"60.00",NULL,0,0,3074,"Winter Garden","US","28.447830","-81.611529","Orlando",630,"Dodge","Grand Caravan","minivan",2017,"GASOLINE","20000.00"
11814,4009047,1518,4974,"69.00","5.00",42,37,4974,"Phoenix","US","33.448393","-111.983216","Phoenix",1518,"Ford","Explorer","suv",2017,"GASOLINE","30000.00"
11815,1889102,1839,2237,"42.00",NULL,0,0,2237,"Albuquerque","US","35.115653","-106.578805","Albuquerque",1839,"Jeep","Cherokee","suv",2018,"GASOLINE","25000.00"
11816,4009047,1448,2682,"69.00","4.93",61,57,2682,"Phoenix","US","33.447465","-111.983977","Phoenix",1448,"BMW","X1","suv",2018,"GASOLINE","30000.00"
11817,4009047,1257,1272,"49.00","5.00",37,32,1272,"Phoenix","US","33.448643","-111.983831","Phoenix",1257,"Nissan","Rogue","suv",2018,"GASOLINE","22000.00"
11818,7342780,636,2986,"65.00","4.98",60,57,2986,"Orlando","US","28.430156","-81.311502","Orlando",636,"Mercedes-Benz","M-Class","suv",2012,"GASOLINE","15000.00"
11819,2885282,601,2042,"31.00","4.86",22,21,2042,"Austin","US","30.179585","-97.695114","Austin",601,"Volkswagen","Jetta","sedan",2013,"GASOLINE","8000.00"
11820,6443723,105,4995,"32.00","5.00",7,6,4995,"Phoenix","US","33.443784","-111.995542","Phoenix",105,"Jeep","Cherokee","suv",2016,"GASOLINE","20000.00"
11821,4009047,1141,5246,"69.00","4.96",33,27,5246,"Phoenix","US","33.447963","-111.985040","Phoenix",1141,"Ford","Explorer","suv",2016,"GASOLINE","25000.00"
11822,4009047,1306,4562,"69.00","5.00",32,30,4562,"Phoenix","US","33.448034","-111.983773","Phoenix",1306,"Nissan","Pathfinder","suv",2017,"GASOLINE","30000.00"
11823,12964709,486,3844,"62.00","4.92",14,13,3844,"Tempe","US","33.389344","-111.904511","Phoenix",486,"Audi","Q7","suv",2013,"DIESEL","20000.00"
11824,15346152,1427,3208,"82.00","5.00",10,7,3208,"Scottsdale","US","33.517978","-111.903968","Phoenix",1427,"Jeep","Wrangler","suv",2016,"GASOLINE","30000.00"
11825,8030281,1849,989,"280.00","5.00",15,15,989,"Chandler","US","33.245417","-111.793479","Phoenix",1849,"Mercedes-Benz","G-Class","suv",2015,"GASOLINE","80000.00"
11826,5339988,270,3881,"65.00","4.98",54,52,3881,"Phoenix","US","33.448935","-111.986392","Phoenix",270,"Toyota","Highlander Hybrid","suv",2013,"HYBRID","15000.00"
11827,13628009,1508,2557,"85.00","5.00",5,3,2557,"Phoenix","US","33.481916","-111.998378","Phoenix",1508,"Chevrolet","Silverado 1500","truck",2017,"GASOLINE","30000.00"
11828,4009047,1111,2347,"69.00","5.00",25,18,2347,"Phoenix","US","33.447740","-111.983528","Phoenix",1111,"Jeep","Grand Cherokee","suv",2015,"GASOLINE","25000.00"
11829,4009047,1746,170,"49.00","4.93",34,30,170,"Phoenix","US","33.447509","-111.983135","Phoenix",1746,"Jeep","Renegade","suv",2018,"GASOLINE","18000.00"
11830,4009047,149,2610,"49.00","5.00",20,18,2610,"Phoenix","US","33.448611","-111.984105","Phoenix",149,"Nissan","Rogue Sport","suv",2018,"GASOLINE","20000.00"
11831,11440792,379,4052,"65.00","5.00",7,7,4052,"Phoenix","US","33.450775","-111.965709","Phoenix",379,"Ram","1500","truck",2015,"GASOLINE","25000.00"
11832,4009047,893,2950,"49.00","5.00",34,32,2950,"Phoenix","US","33.447001","-111.983687","Phoenix",893,"Kia","Sorento","suv",2019,"GASOLINE","30000.00"
11833,4009047,324,5757,"49.00","4.80",21,20,5757,"Phoenix","US","33.447544","-111.983482","Phoenix",324,"Kia","Sportage","suv",2018,"GASOLINE","25000.00"
11834,15436077,1488,2277,"38.00","5.00",3,3,2277,"Pine Castle","US","28.462220","-81.365834","Orlando",1488,"Kia","Sedona","minivan",2015,"GASOLINE","20000.00"
11835,15787426,1255,3883,"45.00",NULL,0,0,3883,"Kissimmee","US","28.330832","-81.299272","Orlando",1255,"Nissan","Rogue","suv",2015,"GASOLINE","18000.00"
11836,4009047,245,358,"69.00","4.98",58,54,358,"Phoenix","US","33.448021","-111.983890","Phoenix",245,"BMW","X1","suv",2017,"GASOLINE","30000.00"
11837,4009047,245,1715,"69.00","4.96",53,47,1715,"Phoenix","US","33.446870","-111.984066","Phoenix",245,"BMW","X1","suv",2017,"GASOLINE","30000.00"
11838,4009047,256,3610,"59.00","4.82",41,33,3610,"Phoenix","US","33.447396","-111.983356","Phoenix",256,"Dodge","Journey","suv",2018,"GASOLINE","20000.00"
11839,4009047,1575,4505,"89.00","4.76",27,25,4505,"Phoenix","US","33.449049","-111.984760","Phoenix",1575,"Jeep","Wrangler","suv",2014,"GASOLINE","22000.00"
11840,2525803,1000,452,"39.00","4.83",49,40,452,"Scottsdale","US","33.466790","-111.897816","Phoenix",1000,"Jeep","Renegade","suv",2017,"GASOLINE","18000.00"
11841,4009047,1634,1201,"59.00","5.00",32,26,1201,"Phoenix","US","33.448345","-111.982973","Phoenix",1634,"Jeep","Cherokee","suv",2015,"GASOLINE","18000.00"
11842,4009047,338,1298,"59.00","4.84",58,56,1298,"Phoenix","US","33.448497","-111.984047","Phoenix",338,"BMW","X1","suv",2013,"GASOLINE","15000.00"
11843,8455105,446,5835,"75.00","5.00",27,22,5835,"Mesa","US","33.464690","-111.804474","Phoenix",446,"GMC","Yukon XL","suv",2013,"GASOLINE","25000.00"
11844,5339988,828,5513,"56.00","5.00",4,4,5513,"Phoenix","US","33.449416","-111.987505","Phoenix",828,"Nissan","Murano","suv",2014,"GASOLINE","15000.00"
11845,15436077,1338,4231,"36.00","5.00",4,4,4231,"Pine Castle","US","28.459713","-81.365082","Orlando",1338,"Hyundai","Santa Fe Sport","suv",2016,"GASOLINE","20000.00"
11846,8515183,1722,686,"49.00","4.98",47,44,686,"Phoenix","US","33.388093","-112.064328","Phoenix",1722,"Nissan","Quest","minivan",2009,"GASOLINE","6000.00"
11847,13511385,282,987,"125.00",NULL,0,0,987,"Phoenix","US","33.474074","-111.999571","Phoenix",282,"Tesla","Model Y","suv",2020,"ELECTRIC","55000.00"
11848,13628009,357,3677,"111.00","5.00",8,8,3677,"Phoenix","US","33.449257","-111.987330","Phoenix",357,"Dodge","Ram 3500","truck",2020,"GASOLINE","50000.00"
11849,14527045,981,4461,"60.00",NULL,0,0,4461,"Phoenix","US","33.416536","-112.010841","Phoenix",981,"Ford","Edge","suv",2019,"GASOLINE","35000.00"
11850,4009047,766,330,"59.00","5.00",33,30,330,"Phoenix","US","33.447612","-111.983429","Phoenix",766,"Ford","Escape","suv",2019,"GASOLINE","28000.00"
11851,7734529,1881,1474,"32.00","4.48",27,23,1474,"Orlando","US","28.441277","-81.242842","Orlando",1881,"Kia","Sedona","minivan",2012,"GASOLINE","12000.00"
11852,13628009,1343,5337,"128.00","5.00",15,14,5337,"Phoenix","US","33.449896","-111.988457","Phoenix",1343,"Ford","F-150","truck",2019,"GASOLINE","40000.00"
11853,7512089,540,2154,"227.00","5.00",11,10,2154,"Paradise Valley","US","33.520887","-112.003004","Phoenix",540,"GMC","Yukon XL","suv",2016,"GASOLINE","40000.00"
11854,4009047,1290,1761,"59.00","4.97",38,35,1761,"Phoenix","US","33.448342","-111.983759","Phoenix",1290,"Hyundai","Tucson","suv",2017,"GASOLINE","22000.00"
11855,4009047,1692,1487,"59.00","4.92",25,24,1487,"Phoenix","US","33.447203","-111.983478","Phoenix",1692,"Hyundai","Tucson","suv",2018,"GASOLINE","23000.00"
11856,4009047,568,5759,"79.00","4.97",36,30,5759,"Phoenix","US","33.448679","-111.983231","Phoenix",568,"Toyota","Sienna","minivan",2011,"GASOLINE","10000.00"
11857,1300675,983,3232,"35.00","4.68",44,28,3232,"Bloomington","US","44.861897","-93.229714","Minneapolis",983,"Ford","Escape","suv",2011,"GASOLINE","10000.00"
